,0
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_96T.model,0.6890932204654187
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_94T.model,0.6860889775651435
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_92T.model,0.6863260163762307
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_90T.model,0.6867190817777852
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_88T.model,0.6880503505777649
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_86T.model,0.6882710150867839
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_84T.model,0.6895443618274134
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_82T.model,0.6862963282654411
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_80T.model,0.688559817973619
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_78T.model,0.6933101270727071
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_76T.model,0.6967636358969626
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_74T.model,0.7010893874055555
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_72T.model,0.707881975106149
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_70T.model,0.7104371123045031
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_68T.model,0.7125177841343211
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_66T.model,0.7208750488929927
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_64T.model,0.7221231916629048
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_62T.model,0.7280748299436873
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_60T.model,0.726615325923745
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_58T.model,0.7255497629708926
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_56T.model,0.7291371219005023
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_54T.model,0.7242587385726277
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_52T.model,0.7204213078702014
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_50T.model,0.7181645850503076
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_48T.model,0.71754531440974
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_46T.model,0.7148558122855877
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_44T.model,0.704725985483268
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_42T.model,0.7085240133441837
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_40T.model,0.703854755799211
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_38T.model,0.6998176472325628
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_36T.model,0.7002867651165914
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_34T.model,0.7041821583542698
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_32T.model,0.6945434971616622
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_30T.model,0.694891463181746
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_28T.model,0.6986444753310305
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_26T.model,0.6929862103131507
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_24T.model,0.6930114139434194
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_22T.model,0.6875315864816554
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_20T.model,0.6847512332869611
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_18T.model,0.6984086839541465
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_16T.model,0.7080600550587336
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_14T.model,0.7007707094254954
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_12T.model,0.6762679685990153
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_10T.model,0.6816697051252357
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_8T.model,0.6779245307203973
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_6T.model,0.6755956793890768
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_4T.model,0.6370191372681855
